"LfdNr";"KSKT";"KST_BEZ";"KST";"FB_Bezeichnung";
"1";"10";"Geschäftsführung und Stabsstellen";"10 Geschäftsführung und Stabsstellen";"100 GF";
"2";"100";"Verwaltung";"100 Verwaltung";"135 DLB";
"3";"109";"Fahrd. Tagesstätte VEC Gr. Str.";"109 Fahrd. Tagesstätte VEC Gr. Str.";"135 DLB";
"4";"110";"Fahrdienst";"110 Fahrdienst";"135 DLB";
"5";"111";"Eigener Fahrdienst";"111 Eigener Fahrdienst";"135 DLB";
"6";"112";"Fahrd. HPK Vechta";"112 Fahrd. HPK Vechta";"135 DLB";
"7";"113";"Fahrd. HPK Steinfeld";"113 Fahrd. HPK Steinfeld";"135 DLB";
"8";"114";"Fahrd. EK-S Vechta";"114 Fahrd. EK-S Vechta";"135 DLB";
"9";"115";"Fahrd. HPK Visbek";"115 Fahrd. HPK Visbek";"135 DLB";
"10";"116";"Fahrd. WfbM/E-BBB Vechta/Lohne";"116 Fahrd. WfbM/E-BBB Vechta/Lohne";"135 DLB";
"11";"117";"Fahrd. Spraki Bakum";"117 Fahrd. Spraki Bakum";"135 DLB";
"12";"118";"Fahrd. WfbM/E-BBB Steinfeld";"118 Fahrd. WfbM/E-BBB Steinfeld";"135 DLB";
"13";"119";"Fahrd. EK-S Damme";"119 Fahrd. EK-S Damme";"135 DLB";
"14";"120";"Küche";"120 Küche";"135 DLB";
"15";"121";"Mittagessen EK-S Damme";"121 Mittagessen EK-S Damme";"135 DLB";
"16";"122";"Mittagessen HPK Visbek";"122 Mittagessen HPK Visbek";"135 DLB";
"17";"123";"Mittagessen EK-S Goldenstedt";"123 Mittagessen EK-S Goldenstedt";"135 DLB";
"18";"124";"Fahrd. EK-S Goldenstedt";"124 Fahrd. EK-S Goldenstedt";"135 DLB";
"19";"125";"Mittagessen Kita Damme";"125 Mittagessen Kita Damme";"135 DLB";
"20";"126";"Fahrd. Spraki Steinfeld";"126 Fahrd. Spraki Steinfeld";"135 DLB";
"21";"130";"Betriebstechnik";"130 Betriebstechnik";"135 DLB";
